id_a,id_b,rerank_score,kept_by_rerank
DF0403_00012_01,ZY0103_00030_01,-1.0,False
DF0403_00012_01,DF1176_00043_01,-1.0,False
DF0403_00012_01,ZY0103_00041_01,-1.0,False
DF0403_00012_01,ZY0103_00034_01,-1.0,False
DF0403_00012_01,ZY0103_00020_01,-1.0,False
DF0403_00012_01,ZY0103_00039_01,-1.0,False
DF0403_00012_01,ZY0103_00029_01,-1.0,False
DF0403_00012_02,DF1759_00054_01,-1.0,False
DF0403_00012_02,DF1759_00059_01,-1.0,False
DF0403_00012_02,DF1759_00059_02,-1.0,False
DF0403_00012_02,DF0403_00027_01,-1.0,False
DF0403_00012_02,DF1759_00056_01,-1.0,False
DF0403_00012_02,DF0403_00012_01,-1.0,False
DF0403_00012_02,DF0403_00027_02,-1.0,False
DF0403_00012_02,DF1176_00046_01,-1.0,False
DF0403_00012_02,ZY0103_00020_02,-1.0,False
DF0403_00012_02,DF1759_00083_01,-1.0,False
DF0403_00012_02,DF1759_00077_01,-1.0,False
DF0403_00012_02,ZY0103_00020_01,-1.0,False
DF0403_00012_02,ZY0103_00038_01,-1.0,False
DF0403_00012_02,DF1759_00057_02,-1.0,False
DF0403_00012_02,DF1759_00062_01,-1.0,False
DF0403_00012_02,ZY0103_00021_01,-1.0,False
DF0403_00019_01,DF0403_00012_01,-1.0,False
DF0403_00019_01,DF0403_00032_02,-1.0,False
DF0403_00019_01,ZY0103_00038_01,-1.0,False
DF0403_00019_01,DF0403_00019_02,-1.0,False
DF0403_00019_01,ZY0103_00020_02,-1.0,False
DF0403_00019_01,ZY0103_00030_01,-1.0,False
DF0403_00019_01,ZY0103_00043_01,-1.0,False
DF0403_00019_01,DF1176_00023_01,-1.0,False
DF0403_00019_01,DF0403_00027_01,-1.0,False
DF0403_00019_01,ZY0103_00020_01,-1.0,False
DF0403_00019_01,DF0403_00032_01,-1.0,False
DF0403_00019_01,DF1176_00033_01,-1.0,False
DF0403_00019_01,ZY0103_00034_01,-1.0,False
DF0403_00019_01,ZY0103_00029_01,-1.0,False
DF0403_00019_01,DF1176_00043_01,-1.0,False
DF0403_00019_01,DF1759_00087_01,-1.0,False
DF0403_00019_01,ZY0103_00041_01,-1.0,False
DF0403_00019_02,DF0403_00019_03,-1.0,False
DF0403_00019_02,DF0403_00012_01,-1.0,False
DF0403_00019_02,DF0403_00027_02,-1.0,False
DF0403_00019_02,DF1176_00033_01,-1.0,False
DF0403_00019_02,DF0403_00019_01,-1.0,False
DF0403_00019_02,DF0403_00032_02,-1.0,False
DF0403_00019_02,ZY0103_00038_01,-1.0,False
DF0403_00019_02,DF1176_00043_01,-1.0,False
